estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
CAMPECHE,CIUDAD DEL CARMEN,BANAVIM,ALTA,CAMPECHE,CIUDAD DEL CARMEN,False,,,,,,False
CAMPECHE,CIUDAD DEL CARMEN,BANAVIM,ALTA_MEDIA,CAMPECHE,CIUDAD DEL CARMEN,False,,,,,,False
CAMPECHE,SAN FRANCISCO DE CAMPECHE,BANAVIM,ALTA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,False,,,,,,False
CAMPECHE,SAN FRANCISCO DE CAMPECHE,BANAVIM,ALTA_MEDIA,CAMPECHE,SAN FRANCISCO DE CAMPECHE,False,,,,,,False
CAMPECHE,XPUJIL,BANAVIM,ALTA_MEDIA,CAMPECHE,XPUJIL,False,,,,,,False
CHIAPAS,CINTALAPA,BANAVIM,ALTA,CHIAPAS,CINTALAPA,False,,,,,,False
CHIAPAS,CINTALAPA,BANAVIM,ALTA_MEDIA,CHIAPAS,CINTALAPA,False,,,,,,False
COLIMA,CIUDAD DE ARMERIA,BANAVIM,ALTA,COLIMA,CIUDAD DE ARMERIA,False,,,,,,False
COLIMA,CIUDAD DE ARMERIA,BANAVIM,ALTA_MEDIA,COLIMA,CIUDAD DE ARMERIA,False,,,,,,False
COLIMA,CIUDAD DE VILLA DE ALVAREZ,BANAVIM,ALTA,COLIMA,CIUDAD DE VILLA DE ALVAREZ,False,,,,,,False
COLIMA,CIUDAD DE VILLA DE ALVAREZ,BANAVIM,ALTA_MEDIA,COLIMA,CIUDAD DE VILLA DE ALVAREZ,False,,,,,,False
NAYARIT,EL NAYAR,INE,ALTA,NAYARIT,EL NAYAR,False,,,,,,False
NAYARIT,EL NAYAR,INE,ALTA_MEDIA,NAYARIT,EL NAYAR,False,,,,,,False
OAXACA,MAGDALENA APASCO,INE,ALTA,OAXACA,MAGDALENA APASCO,False,,,,,,False
OAXACA,MAGDALENA APASCO,BANAVIM,ALTA_MEDIA,OAXACA,MAGDALENA APASCO,False,,,,,,False
OAXACA,MAGDALENA APASCO,INE,ALTA_MEDIA,OAXACA,MAGDALENA APASCO,False,,,,,,False
OAXACA,SANTIAGO CHAZUMBA,INE,ALTA,OAXACA,SANTIAGO CHAZUMBA,False,,,,,,False
OAXACA,SANTIAGO CHAZUMBA,INE,ALTA_MEDIA,OAXACA,SANTIAGO CHAZUMBA,False,,,,,,False
QUINTANA ROO,SOLIDARIDAD,BANAVIM,ALTA,QUINTANA ROO,SOLIDARIDAD,False,,,,,,False
QUINTANA ROO,SOLIDARIDAD,BANAVIM,ALTA_MEDIA,QUINTANA ROO,SOLIDARIDAD,False,,,,,,False
