estado_ine,vinculo_grupo_ine,n_sanciones_ine,n_casos_banavim,edad_media_bv,municipios_unicos,pct_portaba_arma,pct_alcohol
OAXACA,PARES,9,10,31.784,3,0.0,0.0
OAXACA,JERARQUICA_SUBORDINACION,4,11,46.938,3,0.0,0.0
TABASCO,PARES,2,2,43.0,1,0.0,0.0
COAHUILA,PARES,1,1,28.0,1,0.0,0.0
MORELOS,JERARQUICA_SUBORDINACION,1,4,43.75,1,0.25,0.0
HIDALGO,JERARQUICA_SUBORDINACION,1,1,45.0,1,0.0,0.0
PUEBLA,PARES,1,1,50.0,1,1.0,0.0
PUEBLA,JERARQUICA_SUBORDINACION,1,2,41.0,1,0.5,0.0
QUINTANA ROO,OTRO,1,1255,37.254,1,0.023,0.0
SAN LUIS POTOSI,JERARQUICA_SUBORDINACION,1,1,47.0,1,0.0,0.0
TABASCO,OTRO,1,292,35.997,1,0.021,0.0
VERACRUZ,PARES,1,1,30.0,1,0.0,0.0
