municipio_ine,estado_ine,vinculo_grupo_ine,n_sanciones_ine,n_casos_banavim,edad_media_bv,pct_portaba_arma,pct_alcohol
CENTRO,TABASCO,OTRO,1,292,35.997,0.021,0.0
CIENEGA DE ZIMATLAN,OAXACA,JERARQUICA_SUBORDINACION,1,2,33.0,0.0,0.0
FRANCISCO I MADERO,COAHUILA,PARES,1,1,28.0,0.0,0.0
FRANCISCO Z MENA,PUEBLA,JERARQUICA_SUBORDINACION,1,2,41.0,0.5,0.0
JONUTA,TABASCO,PARES,2,2,43.0,0.0,0.0
MAGDALENA APASCO,OAXACA,PARES,2,1,40.0,0.0,0.0
OTHON P BLANCO,QUINTANA ROO,OTRO,1,1255,37.254,0.023,0.0
PEROTE,VERACRUZ,PARES,1,1,30.0,0.0,0.0
SALINA CRUZ,OAXACA,PARES,1,1,23.0,0.0,0.0
SAN ANTONIO CANADA,PUEBLA,PARES,1,1,50.0,1.0,0.0
SAN CRISTOBAL AMATLAN,OAXACA,JERARQUICA_SUBORDINACION,2,5,48.4,0.0,0.0
SAN CRISTOBAL AMATLAN,OAXACA,PARES,6,8,31.625,0.0,0.0
SAN NICOLAS,OAXACA,JERARQUICA_SUBORDINACION,1,4,50.25,0.0,0.0
TETELA DEL VOLCAN,MORELOS,JERARQUICA_SUBORDINACION,1,4,43.75,0.25,0.0
ZARAGOZA,SAN LUIS POTOSI,JERARQUICA_SUBORDINACION,1,1,47.0,0.0,0.0
ZIMAPAN,HIDALGO,JERARQUICA_SUBORDINACION,1,1,45.0,0.0,0.0
